--- 1. Transform to table ---
Data Points,X (Income),Y (Spending)
P1,15.0,39.0
P2,15.0,81.0
P3,16.0,6.0
P4,16.0,77.0
P5,17.0,40.0
P6,17.0,76.0
P7,18.0,6.0
P8,18.0,94.0
P9,19.0,3.0
P10,19.0,72.0
P11,40.0,55.0
P12,42.0,50.0
P13,45.0,45.0
P14,48.0,51.0
P15,50.0,49.0
P16,55.0,55.0
P17,60.0,45.0
P18,62.0,51.0
P19,65.0,55.0
P20,68.0,50.0
P21,70.0,10.0
P22,72.0,90.0
P23,75.0,15.0
P24,78.0,85.0
P25,80.0,20.0
P26,85.0,95.0
P27,88.0,18.0
P28,95.0,90.0
P29,100.0,15.0
P30,110.0,88.0

================ Iteration 1 ================
--- 2. Initialize Centroids (Current) ---
C1,70.0,10.0
C2,16.0,77.0
C3,15.0,39.0
C4,78.0,85.0
C5,19.0,3.0

--- 3. Compute distance and determine cluster ---
Data Points,"Distance to C1(70.0, 10.0)","Distance to C2(16.0, 77.0)","Distance to C3(15.0, 39.0)","Distance to C4(78.0, 85.0)","Distance to C5(19.0, 3.0)",Cluster
"P1 (15.0,39.0)",71.54,41.05,29.79,77.91,34.1,3
"P2 (15.0,81.0)",94.06,2.24,43.54,66.89,76.05,2
"P3 (16.0,6.0)",67.29,74.01,50.15,98.32,1.95,5
"P4 (16.0,77.0)",90.58,3.16,39.9,65.89,72.02,2
"P5 (17.0,40.0)",69.99,40.0,27.59,75.68,35.01,3
"P6 (17.0,76.0)",89.17,4.0,38.48,64.93,71.0,2
"P7 (18.0,6.0)",65.31,74.01,49.08,96.99,1.05,5
"P8 (18.0,94.0)",101.59,14.04,52.55,65.6,89.0,2
"P9 (19.0,3.0)",64.84,77.03,51.19,98.63,2.4,5
"P10 (19.0,72.0)",85.01,8.25,34.23,63.25,67.01,2
"P11 (40.0,55.0)",58.03,33.97,7.78,48.25,54.76,3
"P12 (42.0,50.0)",53.21,39.05,2.44,49.29,51.16,3
"P13 (45.0,45.0)",47.73,44.82,3.4,50.15,48.45,3
"P14 (48.0,51.0)",49.5,42.45,5.49,43.94,55.1,3
"P15 (50.0,49.0)",46.67,45.28,6.68,43.76,54.6,3
"P16 (55.0,55.0)",48.11,45.49,13.55,36.02,62.4,3
"P17 (60.0,45.0)",37.08,55.44,16.87,40.42,58.24,3
"P18 (62.0,51.0)",40.96,53.54,18.84,34.33,63.88,3
"P19 (65.0,55.0)",43.15,54.12,22.71,29.33,68.85,3
"P20 (68.0,50.0)",37.37,59.17,24.68,32.14,67.51,3
"P21 (70.0,10.0)",13.79,87.8,46.38,70.01,52.57,1
"P22 (72.0,90.0)",75.15,55.9,50.81,14.77,100.88,4
"P23 (75.0,15.0)",7.62,87.11,45.69,64.37,58.2,1
"P24 (78.0,85.0)",69.55,61.2,50.66,7.13,100.2,4
"P25 (80.0,20.0)",5.11,87.0,46.08,59.03,64.11,1
"P26 (85.0,95.0)",79.44,69.63,62.77,16.31,112.4,4
"P27 (88.0,18.0)",5.91,94.26,53.75,61.31,71.52,1
"P28 (95.0,90.0)",75.43,78.64,66.53,17.14,114.91,4
"P29 (100.0,15.0)",17.41,105.42,65.52,66.52,82.94,1
"P30 (110.0,88.0)",77.41,93.34,77.69,29.54,124.15,4

--- 4. Compute again and determine new centroids ---
Centroid ID,New X,New Y
C1,82.6,15.6
C2,17.0,80.0
C3,47.25,48.75
C4,88.0,89.6
C5,17.67,5.0

================ Iteration 4 ================
--- 2. Initialize Centroids (Current) ---
C1,82.6,15.6
C2,17.0,80.0
C3,47.25,48.75
C4,88.0,89.6
C5,17.67,5.0

--- 3. Compute distance and determine cluster ---
Data Points,"Distance to C1(82.6, 15.6)","Distance to C2(17.0, 80.0)","Distance to C3(47.25, 48.75)","Distance to C4(88.0, 89.6)","Distance to C5(17.67, 5.0)",Cluster
"P1 (15.0,39.0)",71.54,41.05,33.69,88.82,34.1,3
"P2 (15.0,81.0)",94.06,2.24,45.61,73.5,76.05,2
"P3 (16.0,6.0)",67.29,74.01,52.95,110.33,1.95,5
"P4 (16.0,77.0)",90.58,3.16,42.13,73.09,72.02,2
"P5 (17.0,40.0)",69.99,40.0,31.49,86.61,35.01,3
"P6 (17.0,76.0)",89.17,4.0,40.71,72.29,71.0,2
"P7 (18.0,6.0)",65.31,74.01,51.8,109.04,1.05,5
"P8 (18.0,94.0)",101.59,14.04,53.88,70.14,89.0,2
"P9 (19.0,3.0)",64.84,77.03,53.77,110.73,2.4,5
"P10 (19.0,72.0)",85.01,8.25,36.59,71.21,67.01,2
"P11 (40.0,55.0)",58.03,33.97,9.57,59.17,54.76,3
"P12 (42.0,50.0)",53.21,39.05,5.4,60.7,51.16,3
"P13 (45.0,45.0)",47.73,44.82,4.37,61.95,48.45,3
"P14 (48.0,51.0)",49.5,42.45,2.37,55.59,55.1,3
"P15 (50.0,49.0)",46.67,45.28,2.76,55.61,54.6,3
"P16 (55.0,55.0)",48.11,45.49,9.96,47.81,62.4,3
"P17 (60.0,45.0)",37.08,55.44,13.29,52.66,58.24,3
"P18 (62.0,51.0)",40.96,53.54,14.92,46.54,63.88,3
"P19 (65.0,55.0)",43.15,54.12,18.82,41.55,68.85,3
"P20 (68.0,50.0)",37.37,59.17,20.79,44.36,67.51,3
"P21 (70.0,10.0)",13.79,87.8,44.93,81.61,52.57,1
"P22 (72.0,90.0)",75.15,55.9,48.11,16.0,100.88,4
"P23 (75.0,15.0)",7.62,87.11,43.69,75.72,58.2,1
"P24 (78.0,85.0)",69.55,61.2,47.54,11.01,100.2,4
"P25 (80.0,20.0)",5.11,87.0,43.58,70.06,64.11,1
"P26 (85.0,95.0)",79.44,69.63,59.7,6.18,112.4,4
"P27 (88.0,18.0)",5.91,94.26,51.05,71.6,71.52,1
"P28 (95.0,90.0)",75.43,78.64,63.1,7.01,114.91,4
"P29 (100.0,15.0)",17.41,105.42,62.62,75.56,82.94,1
"P30 (110.0,88.0)",77.41,93.34,74.01,22.06,124.15,4

Clusters did not change. K-Means has converged!

